consumo_kwh,uso_horario_pico,cantidad_equipos,tipo_inmueble,horas_alto_consumo,categoria
78.9,False,3,Departamento,4,Eficiente
323.0,False,13,Casa,8,Ineficiente
287.3,False,15,Departamento,7,Eficiente
143.7,False,7,Departamento,4,Eficiente
247.8,False,14,Casa,7,Moderado
156.2,False,8,Departamento,4,Eficiente
195.4,False,9,Departamento,6,Moderado
107.5,False,5,Departamento,3,Eficiente
258.5,False,13,Casa,5,Moderado
100.1,False,2,Casa,2,Eficiente
92.5,False,5,Casa,2,Eficiente
165.0,False,10,Departamento,4,Eficiente
159.0,False,9,Departamento,4,Eficiente
196.7,False,10,Departamento,5,Moderado
154.4,False,4,Casa,3,Moderado
436.8,True,19,Casa,11,Eficiente
183.0,False,6,Departamento,5,Moderado
219.9,False,13,Casa,8,Moderado
189.0,False,14,Departamento,7,Eficiente
265.1,False,14,Departamento,5,Moderado
222.7,False,13,Departamento,5,Eficiente
241.9,True,14,Casa,8,Ineficiente
238.2,False,13,Departamento,7,Moderado
80.1,False,8,Departamento,3,Eficiente
81.4,False,2,Departamento,2,Eficiente
195.9,True,9,Casa,7,Eficiente
184.0,False,9,Casa,7,Moderado
252.4,False,17,Casa,6,Eficiente
199.8,False,10,Casa,6,Moderado
218.5,True,13,Departamento,8,Ineficiente
104.6,False,6,Departamento,2,Eficiente
172.7,False,10,Departamento,5,Eficiente
113.8,False,6,Casa,5,Ineficiente
231.3,False,15,Casa,6,Eficiente
90.4,False,4,Casa,2,Eficiente
234.8,False,12,Casa,8,Moderado
107.7,False,5,Casa,3,Eficiente
169.7,False,8,Casa,5,Moderado
290.7,True,19,Casa,10,Ineficiente
193.7,False,9,Departamento,6,Moderado
100.1,False,5,Casa,5,Eficiente
129.0,False,3,Departamento,3,Moderado
93.1,False,4,Departamento,4,Eficiente
98.9,False,3,Casa,3,Ineficiente
183.7,False,11,Departamento,5,Eficiente
219.6,False,13,Departamento,5,Ineficiente
240.5,False,16,Casa,6,Eficiente
257.5,True,16,Casa,9,Ineficiente
174.6,False,9,Departamento,4,Eficiente
179.1,False,8,Casa,4,Moderado
128.4,False,4,Casa,3,Moderado
167.6,False,9,Casa,6,Eficiente
99.7,False,4,Departamento,3,Eficiente
122.0,False,6,Departamento,3,Eficiente
180.6,False,8,Departamento,3,Eficiente
164.1,False,11,Departamento,6,Eficiente
712.1,False,14,Casa,9,Ineficiente
97.2,False,3,Departamento,4,Moderado
186.5,True,8,Casa,5,Ineficiente
109.8,False,4,Casa,3,Eficiente
149.6,False,9,Departamento,3,Eficiente
174.8,False,8,Casa,6,Moderado
251.0,False,14,Departamento,7,Moderado
141.7,False,8,Departamento,4,Moderado
162.9,True,8,Departamento,5,Moderado
144.6,True,7,Departamento,4,Moderado
97.7,False,4,Departamento,2,Eficiente
154.2,False,5,Casa,4,Moderado
168.7,False,8,Casa,4,Eficiente
204.3,False,12,Casa,6,Eficiente
252.1,True,16,Casa,7,Moderado
180.7,False,12,Casa,5,Eficiente
154.9,True,11,Departamento,8,Moderado
96.8,False,5,Casa,3,Eficiente
249.7,False,13,Casa,7,Moderado
151.4,False,7,Casa,4,Eficiente
277.6,True,14,Casa,8,Ineficiente
301.6,False,14,Departamento,9,Ineficiente
161.6,False,9,Departamento,5,Eficiente
112.7,False,5,Departamento,3,Eficiente
172.5,True,7,Departamento,7,Ineficiente
234.8,False,15,Casa,7,Moderado
152.2,False,4,Departamento,2,Moderado
155.1,False,7,Casa,4,Eficiente
256.3,False,16,Casa,9,Moderado
242.3,False,14,Casa,8,Moderado
147.9,False,6,Departamento,4,Moderado
100.3,False,8,Casa,3,Eficiente
241.8,True,12,Casa,8,Ineficiente
145.5,False,3,Casa,4,Moderado
216.7,False,13,Casa,5,Eficiente
183.5,False,6,Departamento,4,Moderado
91.7,False,2,Casa,2,Eficiente
204.7,False,12,Casa,8,Moderado
248.1,False,13,Casa,6,Moderado
227.4,False,13,Departamento,7,Moderado
213.1,False,10,Casa,5,Moderado
86.2,False,5,Casa,2,Eficiente
341.3,False,13,Casa,8,Ineficiente
209.2,False,14,Departamento,4,Eficiente
104.5,False,3,Departamento,3,Moderado
124.8,False,8,Departamento,3,Eficiente
218.0,True,10,Casa,7,Ineficiente
229.1,False,16,Departamento,5,Eficiente
141.5,False,5,Departamento,6,Moderado
249.0,False,10,Departamento,6,Ineficiente
93.8,False,4,Casa,2,Eficiente
128.5,False,8,Casa,4,Eficiente
84.0,False,5,Casa,1,Eficiente
120.3,False,7,Departamento,4,Eficiente
372.8,False,18,Casa,8,Ineficiente
478.4,False,15,Casa,6,Ineficiente
219.7,False,13,Casa,5,Eficiente
131.9,False,6,Departamento,2,Eficiente
181.4,False,8,Casa,5,Moderado
214.0,False,12,Departamento,5,Eficiente
89.4,False,3,Departamento,1,Eficiente
134.5,False,9,Departamento,4,Eficiente
369.5,True,15,Casa,10,Ineficiente
112.7,False,4,Departamento,4,Moderado
126.5,False,4,Departamento,4,Moderado
174.7,False,12,Departamento,5,Eficiente
224.8,False,11,Casa,7,Moderado
156.0,False,10,Casa,2,Eficiente
206.2,False,9,Casa,6,Moderado
255.4,False,15,Casa,7,Moderado
454.4,True,17,Casa,11,Ineficiente
189.3,False,12,Casa,5,Eficiente
194.5,True,12,Casa,7,Moderado
327.5,True,16,Departamento,9,Ineficiente
158.1,False,7,Casa,6,Moderado
99.3,False,7,Departamento,3,Eficiente
190.1,False,9,Departamento,3,Eficiente
313.7,False,11,Casa,8,Ineficiente
204.2,False,8,Departamento,5,Moderado
191.9,False,7,Casa,6,Ineficiente
93.8,False,5,Departamento,3,Moderado
196.0,False,15,Casa,7,Eficiente
290.8,False,11,Departamento,8,Ineficiente
118.0,True,3,Casa,6,Ineficiente
179.6,False,10,Casa,6,Eficiente
169.4,False,11,Casa,5,Eficiente
129.5,False,4,Departamento,2,Ineficiente
192.8,False,11,Departamento,4,Eficiente
238.3,False,12,Casa,5,Moderado
237.6,False,18,Casa,7,Eficiente
134.6,False,6,Casa,1,Eficiente
99.9,False,5,Casa,2,Eficiente
225.1,True,12,Casa,8,Ineficiente
161.6,False,7,Casa,6,Moderado
376.0,False,18,Departamento,8,Ineficiente
382.3,False,14,Departamento,7,Ineficiente
459.3,False,13,Casa,9,Ineficiente
116.9,False,5,Departamento,3,Eficiente
257.6,True,15,Casa,8,Ineficiente
250.2,False,12,Departamento,6,Moderado
272.4,False,15,Casa,7,Moderado
149.9,False,5,Departamento,3,Moderado
297.3,False,17,Departamento,7,Moderado
175.5,False,10,Departamento,6,Eficiente
210.1,False,11,Casa,6,Moderado
92.5,True,4,Departamento,4,Moderado
263.4,False,11,Casa,5,Ineficiente
180.1,False,7,Casa,5,Moderado
214.6,False,11,Departamento,5,Moderado
220.6,False,13,Casa,5,Eficiente
187.7,False,11,Departamento,4,Eficiente
170.0,False,8,Departamento,5,Moderado
275.3,True,16,Casa,7,Ineficiente
159.8,False,10,Departamento,5,Eficiente
107.4,False,4,Casa,2,Eficiente
253.9,True,14,Casa,9,Ineficiente
140.9,False,6,Casa,4,Moderado
99.3,False,4,Departamento,3,Eficiente
131.7,False,6,Casa,4,Eficiente
221.4,False,15,Casa,8,Moderado
191.2,False,12,Casa,7,Eficiente
72.1,False,5,Departamento,1,Moderado
146.7,False,6,Departamento,3,Eficiente
283.6,False,13,Departamento,6,Ineficiente
142.6,False,7,Departamento,4,Eficiente
160.8,False,10,Departamento,3,Eficiente
313.4,False,18,Casa,7,Moderado
281.5,False,10,Casa,6,Ineficiente
268.5,False,19,Departamento,7,Ineficiente
53.8,False,4,Departamento,3,Eficiente
412.3,False,18,Casa,6,Ineficiente
258.8,False,11,Casa,6,Ineficiente
487.9,False,16,Departamento,6,Ineficiente
143.3,False,8,Casa,1,Eficiente
83.0,False,2,Departamento,3,Moderado
198.5,True,6,Casa,8,Ineficiente
179.6,True,10,Casa,7,Moderado
230.9,False,12,Departamento,8,Moderado
314.0,False,18,Casa,5,Moderado
189.5,False,10,Casa,3,Eficiente
159.6,False,8,Departamento,3,Eficiente
214.7,False,13,Departamento,3,Eficiente
177.9,False,11,Casa,4,Ineficiente
173.0,False,8,Casa,5,Moderado
270.3,False,16,Departamento,7,Moderado
299.7,False,14,Departamento,8,Ineficiente
311.9,False,15,Casa,8,Ineficiente
183.2,False,11,Casa,4,Moderado
80.0,True,5,Casa,3,Eficiente
184.7,False,10,Casa,5,Eficiente
144.1,False,5,Casa,2,Moderado
164.8,False,5,Departamento,1,Moderado
149.3,False,7,Casa,4,Eficiente
199.8,True,13,Casa,8,Moderado
112.3,False,5,Departamento,5,Eficiente
100.6,False,4,Departamento,3,Eficiente
334.1,False,16,Casa,8,Ineficiente
116.4,False,5,Departamento,2,Eficiente
176.1,False,7,Departamento,4,Moderado
259.1,False,15,Departamento,6,Moderado
290.8,False,16,Casa,8,Moderado
274.5,True,14,Casa,9,Ineficiente
197.1,False,11,Departamento,6,Eficiente
272.3,False,11,Casa,7,Ineficiente
355.3,False,16,Casa,6,Ineficiente
236.8,False,13,Casa,8,Moderado
79.7,True,6,Departamento,5,Eficiente
140.5,False,6,Departamento,4,Moderado
267.4,False,16,Casa,7,Moderado
134.4,False,5,Departamento,4,Ineficiente
393.1,True,12,Casa,9,Ineficiente
169.0,False,8,Departamento,4,Eficiente
181.2,False,10,Departamento,4,Eficiente
320.6,False,16,Casa,7,Ineficiente
182.1,False,10,Casa,6,Eficiente
211.7,False,11,Casa,7,Moderado
257.5,False,13,Departamento,7,Moderado
92.8,False,2,Departamento,3,Moderado
155.1,False,4,Departamento,3,Moderado
250.1,True,13,Departamento,7,Ineficiente
207.9,False,10,Casa,5,Eficiente
320.9,False,17,Departamento,7,Moderado
103.6,False,2,Casa,3,Ineficiente
98.3,False,4,Casa,3,Eficiente
240.4,False,17,Departamento,8,Moderado
252.4,True,13,Departamento,6,Ineficiente
184.3,False,10,Casa,4,Eficiente
236.1,False,14,Casa,6,Moderado
236.9,False,14,Departamento,7,Moderado
125.1,False,5,Departamento,6,Moderado
128.1,False,4,Departamento,2,Ineficiente
217.5,False,13,Casa,5,Eficiente
291.0,False,11,Casa,7,Eficiente
121.4,False,7,Casa,2,Eficiente
157.5,False,7,Departamento,3,Eficiente
156.6,False,8,Departamento,4,Eficiente
238.3,False,12,Casa,7,Moderado
198.9,False,13,Casa,5,Eficiente
158.5,False,8,Casa,3,Eficiente
293.5,False,14,Departamento,7,Ineficiente
138.5,True,6,Departamento,4,Moderado
176.1,False,9,Casa,6,Moderado
102.3,True,8,Casa,6,Eficiente
130.4,False,3,Departamento,1,Moderado
246.0,True,15,Casa,9,Ineficiente
199.1,True,12,Departamento,6,Moderado
260.9,False,17,Casa,7,Moderado
249.7,False,15,Casa,6,Moderado
424.3,True,17,Departamento,8,Ineficiente
145.8,False,9,Casa,5,Eficiente
102.4,False,4,Casa,2,Eficiente
127.3,False,7,Casa,2,Eficiente
149.5,True,10,Casa,6,Moderado
131.4,False,6,Casa,2,Eficiente
210.4,False,11,Casa,5,Moderado
332.7,False,15,Casa,5,Ineficiente
378.2,True,17,Casa,7,Ineficiente
218.2,True,10,Departamento,7,Ineficiente
429.8,False,16,Departamento,7,Ineficiente
171.9,False,7,Casa,2,Moderado
100.6,False,5,Casa,2,Eficiente
310.7,True,14,Casa,9,Ineficiente
79.0,False,2,Departamento,2,Eficiente
126.4,False,3,Departamento,4,Moderado
252.4,False,13,Casa,9,Ineficiente
191.5,False,9,Casa,6,Moderado
184.2,False,10,Casa,4,Eficiente
121.2,True,5,Casa,6,Ineficiente
173.2,False,10,Departamento,6,Eficiente
301.6,False,16,Casa,6,Moderado
200.7,True,12,Casa,6,Moderado
139.6,False,3,Casa,2,Moderado
119.8,False,3,Casa,2,Moderado
139.9,True,7,Casa,6,Moderado
206.9,False,12,Departamento,7,Moderado
228.6,False,14,Casa,7,Eficiente
124.1,False,3,Departamento,3,Eficiente
79.0,False,2,Casa,2,Ineficiente
204.1,False,11,Departamento,6,Moderado
119.2,False,5,Departamento,3,Eficiente
231.4,False,13,Departamento,8,Moderado
127.7,False,6,Departamento,3,Eficiente
115.9,False,5,Departamento,3,Eficiente
184.8,False,12,Departamento,4,Eficiente
467.6,False,20,Departamento,8,Moderado
269.3,False,12,Casa,6,Ineficiente
208.2,False,11,Casa,4,Eficiente
234.4,False,14,Casa,7,Moderado
83.3,False,4,Departamento,4,Eficiente
125.4,False,5,Casa,3,Eficiente
68.5,False,4,Casa,2,Eficiente
356.5,False,13,Departamento,9,Ineficiente
384.1,False,16,Casa,8,Ineficiente
